Time,V Pop,H Pop,Curr Win %,LS Win %,Last Game,Last Attendance vs Opp,Capacity,Visitor,Playoffs?,Last Five,Day of Week,Month,Rivalry?,Attendance
1992-03-30 00:00:00,1.0,3.0,0.65625,0.6172839506172839,19911.0,0.0,19911.0,Milwaukee Bucks,0.0,4.0,Monday,March,0.0,19911.0
1992-04-03 00:00:00,7.0,2.0,0.6515151515151515,0.6172839506172839,19911.0,12616.0,19911.0,Phoenix Suns,0.0,3.0,Friday,April,0.0,19911.0
1992-04-05 00:00:00,2.0,2.0,0.6417910447761194,0.33783783783783783,19006.0,0.0,19006.0,Utah Jazz,0.0,2.0,Sunday,April,0.0,19006.0
1992-04-07 00:00:00,1.0,2.0,0.2058823529411765,0.33783783783783783,19006.0,16008.0,19006.0,Los Angeles Clippers,0.0,3.0,Tuesday,April,0.0,18096.0
1992-04-09 00:00:00,5.0,2.0,0.6521739130434783,0.6172839506172839,19911.0,12616.0,19911.0,Dallas Mavericks,0.0,3.0,Thursday,April,0.0,19911.0
1992-04-09 00:00:00,10.0,2.0,0.2028985507246377,0.33783783783783783,18096.0,19006.0,19006.0,Houston Rockets,0.0,3.0,Thursday,April,0.0,18167.0
1992-04-13 00:00:00,1.0,2.0,0.6619718309859155,0.6172839506172839,19911.0,12616.0,19911.0,Golden State Warriors,0.0,4.0,Monday,April,0.0,19911.0
1992-04-14 00:00:00,1.0,2.0,0.19718309859154928,0.33783783783783783,18167.0,18582.0,19006.0,Golden State Warriors,0.0,1.0,Tuesday,April,0.0,18410.0
1992-04-15 00:00:00,10.0,2.0,0.6666666666666666,0.6172839506172839,19911.0,18700.0,19911.0,Houston Rockets,0.0,5.0,Wednesday,April,1.0,19911.0
1992-04-17 00:00:00,2.0,2.0,0.6712328767123288,0.6172839506172839,19911.0,19911.0,19911.0,Minnesota Timberwolves,0.0,5.0,Friday,April,0.0,19911.0
1992-04-19 00:00:00,1.0,2.0,0.20270270270270271,0.33783783783783783,18410.0,19006.0,19006.0,Charlotte Hornets,0.0,1.0,Sunday,April,0.0,19006.0
1992-04-24 00:00:00,1.0,2.0,0.68,0.6172839506172839,19911.0,19911.0,19911.0,Los Angeles Clippers,1.0,5.0,Friday,April,0.0,19911.0
1992-04-26 00:00:00,1.0,2.0,0.6842105263157895,0.6172839506172839,19911.0,19784.0,19911.0,Los Angeles Clippers,1.0,5.0,Sunday,April,0.0,19911.0
1992-05-04 00:00:00,0.0,2.0,0.6794871794871795,0.6172839506172839,19911.0,19775.0,19911.0,Los Angeles Clippers,1.0,4.0,Monday,May,0.0,19911.0
1992-05-22 00:00:00,1.0,2.0,0.6666666666666666,0.6172839506172839,19911.0,19410.0,19911.0,Portland Trail Blazers,1.0,2.0,Friday,May,0.0,19911.0
1992-05-24 00:00:00,1.0,2.0,0.6707317073170732,0.6172839506172839,19911.0,19911.0,19911.0,Portland Trail Blazers,1.0,3.0,Sunday,May,0.0,19911.0
1992-05-28 00:00:00,1.0,2.0,0.6547619047619048,0.6172839506172839,19911.0,19518.0,19911.0,Portland Trail Blazers,1.0,2.0,Thursday,May,0.0,19911.0
1992-11-06 00:00:00,2.0,5.0,0.0,0.6547619047619048,19911.0,18855.0,19911.0,Golden State Warriors,0.0,0.0,Friday,November,0.0,19911.0
1992-11-07 00:00:00,2.0,2.0,0.0,0.20270270270270271,19006.0,19006.0,19006.0,Golden State Warriors,0.0,0.0,Saturday,November,0.0,19006.0
1992-11-07 00:00:00,2.0,21.0,1.0,0.6913580246913579,14496.0,18422.0,19023.0,Los Angeles Clippers,0.0,1.0,Saturday,November,0.0,19023.0
1992-11-10 00:00:00,5.0,2.0,0.3333333333333333,0.20270270270270271,19006.0,18503.0,19006.0,Dallas Mavericks,0.0,1.0,Tuesday,November,0.0,18202.0
1992-11-12 00:00:00,21.0,5.0,0.5,0.6547619047619048,19911.0,17115.0,19911.0,Phoenix Suns,0.0,2.0,Thursday,November,0.0,19911.0
1992-11-14 00:00:00,2.0,5.0,0.6,0.6547619047619048,19911.0,16743.0,19911.0,Los Angeles Clippers,0.0,3.0,Saturday,November,0.0,19911.0
1992-11-14 00:00:00,21.0,2.0,0.75,0.20270270270270271,18202.0,19006.0,19006.0,Phoenix Suns,0.0,3.0,Saturday,November,0.0,19006.0
1992-11-17 00:00:00,12.0,2.0,0.2,0.20270270270270271,19006.0,18174.0,19006.0,Chicago Bulls,0.0,1.0,Tuesday,November,0.0,19006.0
1992-11-18 00:00:00,5.0,21.0,0.5714285714285714,0.6913580246913579,19023.0,18422.0,19023.0,Sacramento Kings,0.0,2.0,Wednesday,November,0.0,19023.0
1992-11-22 00:00:00,12.0,21.0,0.5714285714285714,0.6913580246913579,19023.0,18422.0,19023.0,Chicago Bulls,0.0,3.0,Sunday,November,0.0,19023.0
1992-11-25 00:00:00,3.0,5.0,0.625,0.6547619047619048,19911.0,16683.0,19911.0,San Antonio Spurs,0.0,3.0,Wednesday,November,0.0,19911.0
1992-11-25 00:00:00,2.0,21.0,0.8888888888888888,0.6913580246913579,19023.0,18422.0,19023.0,Portland Trail Blazers,0.0,4.0,Wednesday,November,0.0,19023.0
1992-11-25 00:00:00,2.0,2.0,0.7142857142857143,0.20270270270270271,19006.0,18161.0,19006.0,New York Knicks,0.0,3.0,Wednesday,November,0.0,18063.0
1992-11-27 00:00:00,2.0,21.0,0.6666666666666666,0.6913580246913579,19023.0,18422.0,19023.0,Golden State Warriors,0.0,3.0,Friday,November,0.0,19023.0
1992-11-28 00:00:00,12.0,2.0,0.25,0.20270270270270271,18063.0,14377.0,19006.0,Detroit Pistons,0.0,1.0,Saturday,November,0.0,19006.0
1992-12-01 00:00:00,4.0,4.0,0.7,0.6547619047619048,19911.0,19911.0,19911.0,Dallas Mavericks,0.0,4.0,Tuesday,December,0.0,19452.0
1992-12-01 00:00:00,1.0,32.0,0.6363636363636364,0.6913580246913579,19023.0,18422.0,19023.0,Charlotte Hornets,0.0,3.0,Tuesday,December,0.0,19023.0
1992-12-03 00:00:00,2.0,4.0,0.7272727272727273,0.6547619047619048,19452.0,18306.0,19911.0,Minnesota Timberwolves,0.0,4.0,Thursday,December,0.0,19911.0
1992-12-04 00:00:00,5.0,32.0,0.6666666666666666,0.6913580246913579,19023.0,18422.0,19023.0,Los Angeles Lakers,0.0,4.0,Friday,December,0.0,19023.0
1992-12-05 00:00:00,3.0,4.0,0.75,0.6547619047619048,19911.0,0.0,19911.0,Denver Nuggets,0.0,4.0,Saturday,December,0.0,19911.0
1992-12-12 00:00:00,10.0,2.0,0.2307692307692308,0.20270270270270271,19006.0,15117.0,19006.0,Houston Rockets,0.0,1.0,Saturday,December,0.0,19006.0
1992-12-12 00:00:00,1.0,4.0,0.7142857142857143,0.6547619047619048,19911.0,12610.0,19911.0,Milwaukee Bucks,0.0,4.0,Saturday,December,0.0,19911.0
1992-12-15 00:00:00,9.0,2.0,0.21428571428571427,0.20270270270270271,19006.0,13108.0,19006.0,Boston Celtics,0.0,1.0,Tuesday,December,0.0,19006.0
1992-12-22 00:00:00,2.0,32.0,0.7777777777777778,0.6913580246913579,19023.0,18422.0,19023.0,Golden State Warriors,0.0,5.0,Tuesday,December,0.0,19023.0
1992-12-23 00:00:00,4.0,2.0,0.3684210526315789,0.20270270270270271,19006.0,17097.0,19006.0,Sacramento Kings,0.0,2.0,Wednesday,December,0.0,18091.0
1992-12-26 00:00:00,9.0,4.0,0.7,0.6547619047619048,19911.0,12616.0,19911.0,Boston Celtics,0.0,3.0,Saturday,December,0.0,19911.0
1992-12-26 00:00:00,5.0,2.0,0.16666666666666666,0.20270270270270271,18091.0,18774.0,19006.0,Atlanta Hawks,0.0,0.0,Saturday,December,0.0,18502.0
1992-12-27 00:00:00,3.0,32.0,0.8,0.6913580246913579,19023.0,18422.0,19023.0,Denver Nuggets,0.0,5.0,Sunday,December,0.0,19023.0
1992-12-28 00:00:00,2.0,4.0,0.7142857142857143,0.6547619047619048,19911.0,12616.0,19911.0,Minnesota Timberwolves,0.0,3.0,Monday,December,0.0,19911.0
1992-12-30 00:00:00,10.0,32.0,0.8095238095238095,0.6913580246913579,19023.0,18422.0,19023.0,Houston Rockets,0.0,5.0,Wednesday,December,0.0,19023.0
1992-12-30 00:00:00,6.0,4.0,0.7272727272727273,0.6547619047619048,19911.0,12616.0,19911.0,Philadelphia 76ers,0.0,4.0,Wednesday,December,0.0,19911.0
1993-01-02 00:00:00,5.0,2.0,0.2,0.20270270270270271,18502.0,18899.0,19006.0,Dallas Mavericks,0.0,1.0,Saturday,January,0.0,18106.0
1993-01-05 00:00:00,4.0,4.0,0.75,0.6547619047619048,19911.0,19911.0,19911.0,San Antonio Spurs,0.0,5.0,Tuesday,January,0.0,19911.0
1993-01-06 00:00:00,5.0,2.0,0.18181818181818185,0.20270270270270271,18106.0,16771.0,19006.0,Los Angeles Lakers,0.0,1.0,Wednesday,January,0.0,18494.0
1993-01-12 00:00:00,2.0,4.0,0.7142857142857143,0.6547619047619048,19911.0,19911.0,19911.0,Miami Heat,0.0,3.0,Tuesday,January,0.0,19911.0
1993-01-13 00:00:00,4.0,2.0,0.6206896551724138,0.20270270270270271,18494.0,16771.0,19006.0,San Antonio Spurs,0.0,4.0,Wednesday,January,0.0,17852.0
1993-01-15 00:00:00,2.0,13.0,0.8076923076923077,0.6913580246913579,19023.0,18422.0,19023.0,Miami Heat,0.0,4.0,Friday,January,0.0,19023.0
1993-01-15 00:00:00,4.0,2.0,0.2,0.20270270270270271,17852.0,20003.0,19006.0,Denver Nuggets,0.0,1.0,Friday,January,0.0,18777.0
1993-01-16 00:00:00,7.0,4.0,0.7241379310344828,0.6547619047619048,19911.0,19911.0,19911.0,Sacramento Kings,0.0,3.0,Saturday,January,0.0,19911.0
1993-01-18 00:00:00,1.0,2.0,0.19230769230769232,0.20270270270270271,18777.0,19006.0,19006.0,Los Angeles Clippers,0.0,1.0,Monday,January,0.0,17879.0
1993-01-20 00:00:00,2.0,2.0,0.71875,0.20270270270270271,17879.0,19677.0,19006.0,Portland Trail Blazers,0.0,4.0,Wednesday,January,0.0,18149.0
1993-01-22 00:00:00,5.0,4.0,0.7096774193548387,0.6547619047619048,19911.0,19911.0,19911.0,Los Angeles Lakers,0.0,3.0,Friday,January,0.0,19911.0
1993-01-24 00:00:00,2.0,4.0,0.6875,0.6547619047619048,19911.0,19911.0,19911.0,Portland Trail Blazers,0.0,3.0,Sunday,January,0.0,19911.0
1993-01-26 00:00:00,2.0,4.0,0.696969696969697,0.6547619047619048,19911.0,19911.0,19911.0,Cleveland Cavaliers,0.0,3.0,Tuesday,January,0.0,19911.0
1993-01-27 00:00:00,13.0,2.0,0.7741935483870968,0.20270270270270271,18149.0,18627.0,19006.0,Phoenix Suns,0.0,3.0,Wednesday,January,0.0,18503.0
1993-01-29 00:00:00,4.0,13.0,0.6571428571428571,0.6913580246913579,19023.0,18422.0,19023.0,San Antonio Spurs,0.0,4.0,Friday,January,1.0,19023.0
1993-01-30 00:00:00,2.0,2.0,0.1875,0.20270270270270271,18503.0,18701.0,19006.0,Milwaukee Bucks,0.0,1.0,Saturday,January,0.0,19006.0
1993-01-30 00:00:00,5.0,13.0,0.7878787878787878,0.6913580246913579,19023.0,18422.0,19023.0,Dallas Mavericks,0.0,5.0,Saturday,January,0.0,19023.0
1993-01-30 00:00:00,1.0,4.0,0.6857142857142857,0.6547619047619048,19911.0,19911.0,19911.0,Los Angeles Clippers,0.0,3.0,Saturday,January,0.0,19911.0
1993-02-01 00:00:00,16.0,4.0,0.6666666666666666,0.6547619047619048,19911.0,19911.0,19911.0,Chicago Bulls,0.0,2.0,Monday,February,0.0,19911.0
1993-02-03 00:00:00,3.0,4.0,0.6756756756756757,0.6547619047619048,19911.0,19911.0,19911.0,Denver Nuggets,0.0,3.0,Wednesday,February,0.0,19911.0
