Time,Curr Win %,Capacity,Home,Visitor,Playoffs?,Last Five,Day of Week,Month,Attendance
1999-04-02 00:00:00,0.6666666666666666,23079.0,Chicago Bulls,Orlando Magic,0.0,3.0,Friday,April,22517.0
1999-04-02 00:00:00,0.5384615384615384,19006.0,Minnesota Timberwolves,Denver Nuggets,0.0,4.0,Friday,April,15979.0
1999-04-02 00:00:00,0.4137931034482759,19023.0,Phoenix Suns,Los Angeles Lakers,0.0,1.0,Friday,April,19023.0
1999-04-03 00:00:00,0.3793103448275862,19006.0,Minnesota Timberwolves,Sacramento Kings,0.0,2.0,Saturday,April,17011.0
1999-04-03 00:00:00,0.8148148148148148,20735.0,Portland Trail Blazers,Phoenix Suns,0.0,4.0,Saturday,April,20056.0
1999-04-04 00:00:00,0.5555555555555556,20562.0,Cleveland Cavaliers,Milwaukee Bucks,0.0,4.0,Sunday,April,12041.0
1999-04-04 00:00:00,0.3448275862068966,20674.0,Washington Wizards,Miami Heat,0.0,2.0,Sunday,April,14951.0
1999-04-05 00:00:00,0.5714285714285714,19006.0,Minnesota Timberwolves,Dallas Mavericks,0.0,4.0,Monday,April,14107.0
1999-04-06 00:00:00,0.4827586206896552,20562.0,Cleveland Cavaliers,Chicago Bulls,0.0,3.0,Tuesday,April,14739.0
1999-04-06 00:00:00,0.5,20930.0,Philadelphia 76ers,Milwaukee Bucks,0.0,2.0,Tuesday,April,16055.0
1999-04-07 00:00:00,0.3333333333333333,18624.0,Boston Celtics,Washington Wizards,0.0,1.0,Wednesday,April,15901.0
1999-04-07 00:00:00,0.6451612903225806,23079.0,Chicago Bulls,Indiana Pacers,0.0,4.0,Wednesday,April,22484.0
1999-04-07 00:00:00,0.4375,19023.0,Phoenix Suns,Minnesota Timberwolves,0.0,3.0,Wednesday,April,19023.0
1999-04-08 00:00:00,0.7058823529411765,20562.0,Cleveland Cavaliers,Orlando Magic,0.0,5.0,Thursday,April,14512.0
1999-04-08 00:00:00,0.7857142857142857,19911.0,Utah Jazz,Golden State Warriors,0.0,4.0,Thursday,April,19506.0
1999-04-09 00:00:00,0.5161290322580645,18624.0,Boston Celtics,Philadelphia 76ers,0.0,3.0,Friday,April,18624.0
1999-04-09 00:00:00,0.7931034482758621,19911.0,Utah Jazz,Phoenix Suns,0.0,5.0,Friday,April,19911.0
1999-04-10 00:00:00,0.46875,20562.0,Cleveland Cavaliers,Atlanta Hawks,0.0,3.0,Saturday,April,13859.0
1999-04-10 00:00:00,0.6774193548387096,23079.0,Chicago Bulls,Miami Heat,0.0,4.0,Saturday,April,22508.0
1999-04-10 00:00:00,0.6666666666666666,19023.0,Phoenix Suns,San Antonio Spurs,0.0,4.0,Saturday,April,19023.0
1999-04-11 00:00:00,0.1875,18624.0,Boston Celtics,Chicago Bulls,0.0,0.0,Sunday,April,17169.0
1999-04-11 00:00:00,0.53125,19006.0,Minnesota Timberwolves,Detroit Pistons,0.0,2.0,Sunday,April,19006.0
1999-04-11 00:00:00,0.7857142857142857,20735.0,Portland Trail Blazers,Los Angeles Clippers,0.0,3.0,Sunday,April,18101.0
1999-04-11 00:00:00,0.8,19911.0,Utah Jazz,Houston Rockets,0.0,5.0,Sunday,April,19804.0
1999-04-11 00:00:00,0.34375,20674.0,Washington Wizards,Philadelphia 76ers,0.0,1.0,Sunday,April,18761.0
1999-04-12 00:00:00,0.5151515151515151,19006.0,Minnesota Timberwolves,Houston Rockets,0.0,1.0,Monday,April,16093.0
1999-04-12 00:00:00,0.4545454545454545,18624.0,Boston Celtics,Cleveland Cavaliers,0.0,2.0,Monday,April,15622.0
1999-04-13 00:00:00,0.7931034482758621,20735.0,Portland Trail Blazers,Los Angeles Lakers,0.0,3.0,Tuesday,April,20705.0
1999-04-13 00:00:00,0.3333333333333333,20562.0,Cleveland Cavaliers,Washington Wizards,0.0,1.0,Tuesday,April,11533.0
1999-04-14 00:00:00,0.3636363636363637,18624.0,Boston Celtics,Atlanta Hawks,0.0,3.0,Wednesday,April,15364.0
