Time,V Pop,H Pop,Last Attendance vs Opp,Visitor,Playoffs?,Last Five,Day of Week,Month,Rivalry?,Attendance
2004-01-28 19:00:00,13.0,4.0,11393.0,Phoenix Suns,0.0,1.0,Wednesday,January,0.0,16111.0
2004-01-28 19:00:00,19.0,3.0,15124.0,Orlando Magic,0.0,2.0,Wednesday,January,0.0,14799.0
2004-01-28 19:30:00,8.0,5.0,19800.0,Philadelphia 76ers,0.0,1.0,Wednesday,January,0.0,17708.0
2004-01-28 21:00:00,17.0,4.0,18171.0,Chicago Bulls,0.0,3.0,Wednesday,January,0.0,15420.0
2004-01-28 21:00:00,7.0,8.0,16611.0,Sacramento Kings,0.0,2.0,Wednesday,January,0.0,18209.0
2004-01-28 21:00:00,5.0,4.0,19911.0,Dallas Mavericks,0.0,2.0,Wednesday,January,0.0,19515.0
2004-01-29 19:30:00,2.0,5.0,11323.0,Portland Trail Blazers,0.0,4.0,Thursday,January,0.0,11227.0
2004-01-29 21:30:00,7.0,4.0,18769.0,Sacramento Kings,0.0,2.0,Thursday,January,0.0,17669.0
2004-01-30 19:00:00,3.0,5.0,19800.0,Detroit Pistons,0.0,1.0,Friday,January,0.0,19555.0
2004-01-30 19:00:00,13.0,3.0,12571.0,Phoenix Suns,0.0,2.0,Friday,January,0.0,14125.0
2004-01-30 19:30:00,4.0,9.0,18624.0,New York Knicks,0.0,2.0,Friday,January,1.0,18624.0
2004-01-30 19:30:00,1.0,2.0,20058.0,Los Angeles Clippers,0.0,3.0,Friday,January,0.0,14346.0
2004-01-30 22:30:00,2.0,5.0,18997.0,Minnesota Timberwolves,0.0,4.0,Friday,January,0.0,18997.0
2004-01-31 13:00:00,4.0,5.0,13585.0,Denver Nuggets,0.0,3.0,Saturday,January,0.0,20463.0
2004-01-31 19:00:00,2.0,5.0,12032.0,Milwaukee Bucks,0.0,4.0,Saturday,January,0.0,9317.0
2004-01-31 20:00:00,9.0,4.0,12578.0,Boston Celtics,0.0,3.0,Saturday,January,0.0,18345.0
2004-01-31 20:30:00,4.0,4.0,16673.0,Utah Jazz,0.0,3.0,Saturday,January,0.0,18797.0
2004-01-31 22:00:00,17.0,2.0,16717.0,Chicago Bulls,0.0,4.0,Saturday,January,0.0,17577.0
2004-02-01 12:00:00,2.0,4.0,14660.0,Cleveland Cavaliers,0.0,2.0,Sunday,February,0.0,15541.0
2004-02-01 12:30:00,5.0,4.0,19800.0,Los Angeles Lakers,0.0,1.0,Sunday,February,0.0,20116.0
2004-02-01 14:00:00,7.0,2.0,15532.0,Philadelphia 76ers,0.0,0.0,Sunday,February,0.0,16987.0
2004-02-02 19:00:00,5.0,3.0,14336.0,Los Angeles Lakers,0.0,2.0,Monday,February,0.0,18345.0
2004-02-02 19:30:00,1.0,6.0,10551.0,Los Angeles Clippers,0.0,3.0,Monday,February,0.0,8508.0
2004-02-02 19:30:00,3.0,1.0,21103.0,Detroit Pistons,0.0,3.0,Monday,February,0.0,15438.0
2004-02-02 21:00:00,3.0,4.0,19911.0,San Antonio Spurs,0.0,3.0,Monday,February,0.0,19911.0
2004-02-02 21:00:00,2.0,3.0,19866.0,Portland Trail Blazers,0.0,4.0,Monday,February,0.0,15866.0
2004-02-02 21:00:00,10.0,14.0,18422.0,Houston Rockets,0.0,2.0,Monday,February,0.0,16446.0
2004-02-03 19:00:00,4.0,7.0,20901.0,Toronto Raptors,0.0,2.0,Tuesday,February,0.0,19049.0
2004-02-03 20:00:00,25.0,2.0,15142.0,Orlando Magic,0.0,1.0,Tuesday,February,0.0,14979.0
2004-02-03 20:30:00,2.0,5.0,10671.0,Golden State Warriors,0.0,3.0,Tuesday,February,0.0,19865.0
2004-02-04 19:00:00,1.0,10.0,18624.0,Los Angeles Clippers,0.0,4.0,Wednesday,February,0.0,14342.0
2004-02-04 19:00:00,25.0,4.0,20017.0,Orlando Magic,0.0,3.0,Wednesday,February,0.0,16228.0
2004-02-04 19:00:00,3.0,4.0,15012.0,Memphis Grizzlies,0.0,1.0,Wednesday,February,0.0,12531.0
