,$R^2$,Explained Variance Score,Mean Absolute Error,Root Mean Square Error,Mean Absolute Percent Error
Dataset 2 Subset 2 Elastic Net TimeSeriesSplit,0.3345215375061451,0.33452783076050396,914.7456356051872,1632.695388414063,5.610330840342219
Dataset 2 Subset 2 Elastic Net with Standardized Features TimeSeriesSplit,0.49761351106483276,0.4980125763821547,904.5518953864748,1418.5908011337547,5.437644873028975
Dataset 2 Subset 2 Huber TimeSeriesSplit,0.32330248472309076,0.3269235853247414,994.0033227091884,1646.400368840466,5.995007002387426
Dataset 2 Subset 2 Huber with Standardized Features TimeSeriesSplit,0.5412020821880899,0.5473178211670693,1001.1725868108571,1355.654072066961,5.8391104382402
Dataset 2 Subset 3 OLS,0.5506849781634298,0.559948293868431,1005.3404607936207,1341.5709111908845,5.875548298205115
Dataset 2 Subset 3 OLS with Standardized Features,-1.1065838963460853e+21,-1.0726865159435164e+21,11888357726905.047,66577937434142.01,71630635033.36905
Dataset 2 Subset 3 Ridge,0.5506849938456473,0.5599483291860707,1005.3404227393708,1341.570887778795,5.8755481116150925
Dataset 2 Subset 3 Ridge with Standardized Features,0.5380739907969401,0.5384016968106261,992.5845220739334,1360.2676569025273,5.830850778574971
Dataset 2 Subset 3 Lasso,0.4771317912424017,0.4856129273040014,1039.6555220502723,1447.2190887323557,6.228372252515658
Dataset 2 Subset 3 Lasso with Standardized Features,0.5359345345194069,0.5373688832044985,966.2554653802287,1363.4141253220373,5.7328504791151635
Dataset 2 Subset 3 Elastic Net,0.47727249417653594,0.4858629220869721,1040.894705314733,1447.0243535490567,6.23501256146152
Dataset 2 Subset 3 Elastic Net with Standardized Features,0.5359345345194069,0.5373688832044985,966.2554653802287,1363.4141253220373,5.7328504791151635
Dataset 2 Subset 3 Huber,0.42969720883039864,0.44554915239777004,852.132081757305,1511.4400027523072,5.323151200532565
Dataset 2 Subset 3 Huber with Standardized Features,0.4874016323306626,0.4902628770046683,908.5641477868822,1432.9359324773902,5.47664463456932
Dataset 2 Subset 3 LinearSVR,0.47540392421702127,0.4870161516314174,1050.5668845554212,1449.6083520666937,6.283205221670698
Dataset 2 Subset 3 LinearSVR with Standardized Features,0.5412455825198148,0.5424826094372175,991.3133248824286,1355.5898032489908,5.814534133679334
Dataset 2 Subset 3 Ridge TimeSeriesSplit,0.4771317912424017,0.4856129273040014,1039.6555220502723,1447.2190887323557,6.228372252515658
Dataset 2 Subset 3 Ridge with Standardized Features TimeSeriesSplit,0.5359345345194069,0.5373688832044985,966.2554653802287,1363.4141253220373,5.7328504791151635
Dataset 2 Subset 3 Lasso TimeSeriesSplit,0.47727249417653594,0.4858629220869721,1040.894705314733,1447.0243535490567,6.23501256146152
Dataset 2 Subset 3 Lasso with Standardized Features TimeSeriesSplit,0.5359345345194069,0.5373688832044985,966.2554653802287,1363.4141253220373,5.7328504791151635
Dataset 2 Subset 3 Elastic Net TimeSeriesSplit,0.428296137195986,0.44358111470133477,852.470319869646,1513.2954528183504,5.32304461502281
Dataset 2 Subset 3 Elastic Net with Standardized Features TimeSeriesSplit,0.4874016323306626,0.4902628770046683,908.5641477868822,1432.9359324773902,5.47664463456932
Dataset 2 Subset 3 Huber TimeSeriesSplit,0.4754039242170217,0.48701615163141754,1050.5668845554205,1449.6083520666932,6.283205221670698
Dataset 2 Subset 3 Huber with Standardized Features TimeSeriesSplit,0.5412455825198148,0.5424826094372175,991.3133248824286,1355.5898032489908,5.814534133679334
Dataset 3 Ridge,0.5602496585282533,0.5621314689591315,993.5977777079544,1327.2149239083676,5.810613620107797
Dataset 3 Ridge with Standardized Features,0.5534885075624156,0.5540088039341483,993.7951288199492,1337.37895383362,5.826877082496687
Dataset 3 Lasso,0.48281853919249385,0.4882075966358652,1019.8770795599081,1439.327549343808,6.135323465458821
Dataset 3 Lasso with Standardized Features,0.5523923976411058,0.5524095984867663,990.0045664483291,1339.0194668153524,5.835732034223126
Dataset 3 Elastic Net,0.4828551476114552,0.4882026516740463,1019.8553756095151,1439.276607418768,6.1352870585914525
Dataset 3 Elastic Net with Standardized Features,0.5523923976411058,0.5524095984867663,990.0045664483291,1339.0194668153524,5.835732034223126
Dataset 3 Huber,0.4401046131620596,0.45980108010435383,848.4036702876921,1497.585437724591,5.3119507802343815
Dataset 3 Huber with Standardized Features,0.5412621866104217,0.5466288728590614,904.5556491715557,1355.5652710170048,5.429762939208725
Dataset 3 LinearSVR,0.4822107846068149,0.48833905351848217,1023.3616854635844,1440.1729983277353,6.152826279199907
Dataset 3 LinearSVR with Standardized Features,0.563089941098178,0.5630916483194878,986.4270147211283,1322.9218378956807,5.77116221618356
Dataset 3 Ridge TimeSeriesSplit,0.48281853919249385,0.4882075966358652,1019.8770795599081,1439.327549343808,6.135323465458821
Dataset 3 Ridge with Standardized Features TimeSeriesSplit,0.5523923976411058,0.5524095984867663,990.0045664483291,1339.0194668153524,5.835732034223126
Dataset 3 Lasso TimeSeriesSplit,0.4828551476114552,0.4882026516740463,1019.8553756095151,1439.276607418768,6.1352870585914525
